Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
lf_roller_8,1.99644414888844E-08,0.000147345585474301,5.19797756323714E-07,0,0,0,0.00139539433702022,4.54139924750154E-08,9.26341898651297E-13,1.18712265115222E-12,2.13340902762064E-08,-1.11097676144442E-12,4.53893903718589E-08,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_8.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_8.STL,,Wheel-1/Rubber_sh-2,Coordinate System26,Axis25,lf_roller_8j,continuous,-0.0109133253314825,-0.015249989767624,-0.0200538278684376,-2.64321241321233,0,1.5707963267949,lf_wheel,0,-1,0,,,,,,,,,,,,
lf_roller_9,-2.27899752625049E-07,0.000147337691306329,-4.7972180255984E-07,0,0,0,0.00139539448981912,4.54121979419639E-08,-5.22203925734726E-13,-6.55010053816292E-12,2.13340824255313E-08,1.38512618382391E-12,4.53911823953326E-08,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_9.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_9.STL,,Wheel-1/Rubber_sh-1,Coordinate System27,Axis26,lf_roller_9j,continuous,0.0156999238059492,-0.0152499897676239,-0.0165761534043967,2.38333583253132,0,1.5707963267949,lf_wheel,0,-1,0,,,,,,,,,,,,
lf_roller_10,2.13683138433618E-07,0.000147332004590162,-4.76300018537046E-07,0,0,0,0.00139539314926649,4.5406145743595E-08,-1.38728517092104E-12,1.15132961385898E-11,2.1334060815454E-08,4.8128457322342E-13,4.53971262848059E-08,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_10.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/lf_roller_10.STL,,Wheel-1/Rubber_sh-5,Coordinate System28,Axis27,lf_roller_10j,continuous,0.0206164051043709,-0.0152499897676238,0.00980921111783629,1.12669877109546,0,1.5707963267949,lf_wheel,0,-1,0,,,,,,,,,,,,
rb_wheel,-3.37230243729891E-15,-0.00900489911691322,2.60902410786912E-15,0,0,0,0.0389563583196813,6.96753570378059E-06,-1.73641754187132E-20,4.61843438765856E-20,1.37135800312478E-05,-1.38282341950435E-20,6.96753570378053E-06,0,0,0,0,0,0,package://prometheus_final/meshes/rb_wheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://prometheus_final/meshes/rb_wheel.STL,,Wheel-5/Alu_Base-1;Wheel-5/Middle_Plastic-1;Wheel-5/Alu_Base-2,Coordinate System4,Axis3,rb_joint,continuous,-0.0642425134965542,-0.0655532449190786,0.00900000000000001,0,0,2.35619449019234,base_link,0,-1,0,,,,,,,,,,,,
rb_roller_1,-2.40775482593381E-07,-0.000147339202694038,-4.77523948827496E-07,0,0,0,0.00139539490595951,4.54062734833563E-08,-1.39625710079431E-12,-1.15184398663045E-11,2.13340849814551E-08,-4.82616379173692E-13,4.53971072215902E-08,0,0,0,0,0,0,package://prometheus_final/meshes/rb_roller_1.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/rb_roller_1.STL,,Wheel-5/Rubber_sh-12,Coordinate System29,Axis28,rb_roller_1j,continuous,-0.00912720895744017,-0.00274999999999997,0.0209272766093343,-0.411267823025159,0,1.57079632679489,rb_wheel,0,-1,0,,,,,,,,,,,,
rb_roller_2,6.47419346397338E-08,-0.000147341423590464,-5.4857136790043E-07,0,0,0,0.0013953958853924,4.54141248053791E-08,-9.19681200932954E-13,-4.48379522719565E-13,2.13340779236915E-08,-1.18570330840807E-12,4.53892252780573E-08,0,0,0,0,0,0,package://prometheus_final/meshes/rb_roller_2.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/rb_roller_2.STL,,Wheel-5/Rubber_sh-11,Coordinate System30,Axis29,rb_roller_2j,continuous,-0.0227234854666781,-0.00275000000000001,-0.00221360743629348,-1.66790488446102,0,1.5707963267949,rb_wheel,0,-1,0,,,,,,,,,,,,
rb_roller_3,5.22491399281705E-07,-0.000147338342567811,4.47702422357033E-08,0,0,0,0.00139539379341495,4.53893995451717E-08,1.12599706380334E-12,1.33159685208739E-12,2.13340798780879E-08,-9.3702194958546E-13,4.54139633161862E-08,0,0,0,0,0,0,package://prometheus_final/meshes/rb_roller_3.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/rb_roller_3.STL,,Wheel-5/Rubber_sh-10,Coordinate System31,Axis30,rb_roller_3j,continuous,-0.0049166774038287,-0.00274999999999999,-0.0222953612427142,-2.92454194589694,0,1.5707963267949,rb_wheel,0,-1,0,,,,,,,,,,,,
rb_roller_4,-3.19685325593511E-07,-0.000147340086419256,4.46837771679587E-07,0,0,0,0.00139539573465183,4.54087307963999E-08,2.32000483295897E-13,1.02547759372744E-11,2.133408500203E-08,1.48236417751278E-12,4.53946627123606E-08,0,0,0,0,0,0,package://prometheus_final/meshes/rb_roller_4.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/rb_roller_4.STL,,Wheel-5/Rubber_sh-14,Coordinate System32,Axis31,rb_roller_4j,continuous,0.019684811719396,-0.00274999999999995,-0.011565683603162,2.10200629984671,0,1.5707963267949,rb_wheel,0,-1,0,,,,,,,,,,,,
rb_roller_5,2.43886670433721E-07,-0.000147338790790416,4.64719564566285E-07,0,0,0,0.0013953925987374,4.5404800325625E-08,1.41304362340863E-12,-1.19229617399793E-11,2.13340641367703E-08,4.0678431865469E-13,4.539850666648E-08,0,0,0,0,0,0,package://prometheus_final/meshes/rb_roller_5.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/rb_roller_5.STL,,Wheel-5/Rubber_sh-13,Coordinate System33,Axis32,rb_roller_5j,continuous,0.0170825601085604,-0.00274999999999994,0.0151473756728321,0.845369238410752,0,1.5707963267949,rb_wheel,0,-1,0,,,,,,,,,,,,
rb_roller_6,-3.90045319882681E-07,0.000147346202653435,-3.44880671951375E-07,0,0,0,0.00139539422583446,4.54042045993263E-08,6.60346474867806E-14,-1.2117491413102E-11,2.13340789893279E-08,1.47899254052615E-12,4.53991625020494E-08,0,0,0,0,0,0,package://prometheus_final/meshes/rb_roller_6.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://prometheus_final/meshes/rb_roller_6.STL,,Wheel-5/Rubber_sh-4,Coordinate System34,Axis33,rb_roller_6j,continuous,0.00491668114369825,-0.0152500039189007,0.0222953445194905,0.217050707692892,0,1.5707963267949,rb_wheel,0,-1,0,,,,,,,,,,,,
